DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
12-Sep-2025,"156,201.69","156,519.13","154,360.35","154,439.68","241,099,022","-1,701.56"
15-Sep-2025,"154,612.17","155,602.29","154,486.21","155,384.50","274,674,705",944.82
16-Sep-2025,"155,960.66","156,467.91","155,781.84","156,180.94","423,573,452",796.44
17-Sep-2025,"156,887.48","157,196.58","155,960.35","156,177.81","367,851,537",-3.13
18-Sep-2025,"157,020.08","158,082.55","156,978.85","157,953.46","555,465,296","1,775.65"
19-Sep-2025,"158,555.48","159,337.46","157,521.99","158,037.37","890,894,731",83.91
22-Sep-2025,"158,528.15","158,850.34","157,245.72","157,554.66","833,292,624",-482.71
23-Sep-2025,"158,187.32","158,831.22","157,416.54","157,945.02","771,285,990",390.36
24-Sep-2025,"158,529.73","159,046.60","158,133.30","158,236.67","1,027,318,517",291.65
25-Sep-2025,"158,849.27","159,537.60","158,297.43","159,280.09","880,272,872","1,043.42"
26-Sep-2025,"159,901.55","162,422.28","159,901.55","162,257.00","562,769,288","2,976.91"
29-Sep-2025,"162,920.48","163,903.62","162,058.64","163,847.68","483,728,704","1,590.68"
30-Sep-2025,"164,354.54","166,556.29","164,208.33","165,493.58","629,990,314","1,645.90"
01-Oct-2025,"166,176.65","166,522.61","164,155.32","165,640.33","1,003,818,362",146.75
02-Oct-2025,"166,079.47","168,619.32","165,567.22","168,489.62","776,263,551","2,849.29"
03-Oct-2025,"169,041.40","169,988.61","168,613.41","168,990.07","831,083,556",500.45
06-Oct-2025,"169,178.99","169,326.35","165,997.36","167,752.40","623,765,222","-1,237.67"
07-Oct-2025,"168,299.19","168,518.97","165,997.21","166,173.74","629,739,254","-1,578.66"
08-Oct-2025,"166,360.54","166,947.19","165,109.84","165,266.74","554,831,161",-907
09-Oct-2025,"165,526.93","166,729.97","164,306.76","164,530.80","698,865,320",-735.94
10-Oct-2025,"163,984.80","165,262.85","162,411.25","163,098.19","607,604,107","-1,432.61"
13-Oct-2025,"161,403.91","161,988.12","157,678.01","158,443.42","686,327,092","-4,654.77"
