DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
19-Feb-2026,233.02,239.8,230.01,230.17,"3,468",-5.69
20-Feb-2026,235,235,226,230.74,"2,345",0.57
23-Feb-2026,230.01,230.5,223,223.37,"4,174",-7.37
24-Feb-2026,227.95,227.99,202.1,216.35,"17,594",-7.02
25-Feb-2026,217,224.99,212,214.57,"6,393",-1.78
26-Feb-2026,214.58,219,200,208.93,"9,488",-5.64
27-Feb-2026,212,217.99,212,213.94,"4,430",5.01
02-Mar-2026,192.55,213.99,192.55,192.62,"13,497",-21.32
03-Mar-2026,192.62,195,180.2,191.77,"10,469",-0.85
04-Mar-2026,187,195,187,191.44,"2,539",-0.33
05-Mar-2026,188.1,204.99,188.1,194.84,"6,017",3.4
06-Mar-2026,192.5,194.95,187,187.8,"5,216",-7.04
09-Mar-2026,185,185,169.02,173.74,"11,687",-14.06
10-Mar-2026,177.32,188.99,177.32,186.03,"6,717",12.29
11-Mar-2026,186.04,190.98,171.01,185.77,"7,508",-0.26
12-Mar-2026,185.77,190,185.75,186.49,"2,983",0.72
13-Mar-2026,189.48,189.49,186.03,187.64,"1,513",1.15
16-Mar-2026,189,189,181,186.04,"2,527",-1.6
17-Mar-2026,186.04,187.99,180,182.16,"2,621",-3.88
18-Mar-2026,184.99,189,170.1,186.4,"14,085",4.24
19-Mar-2026,186.4,191.49,185.01,189.89,"12,084",3.49
24-Mar-2026,190.99,192.94,190,191.47,"6,629",1.58
25-Mar-2026,192.99,197.49,191.41,195.86,"11,080",4.39
26-Mar-2026,192.61,197.49,192,193.27,"5,897",-2.59
27-Mar-2026,196.84,196.84,192.04,193.17,"3,271",-0.1
30-Mar-2026,192.02,195,183,186.11,"13,595",-7.06
31-Mar-2026,187,187,180,184.8,"6,916",-1.31
01-Apr-2026,191.51,196.49,189,190.23,"10,922",5.43
02-Apr-2026,194.9,194.9,183.06,191.84,"5,434",1.61
03-Apr-2026,184.01,193.95,184.01,188.25,"2,732",-3.59
06-Apr-2026,184.1,195.08,183.85,187.06,"9,717",-1.19
07-Apr-2026,189.99,189.99,186.01,188.22,"2,968",1.16
08-Apr-2026,196.11,207,195,206.82,"32,549",18.6
09-Apr-2026,207,207,200.25,200.71,"10,500",-6.11
10-Apr-2026,205.98,210,201.02,208.02,"43,441",7.31
13-Apr-2026,203.2,205,198.5,198.9,"7,986",-9.12
14-Apr-2026,202,205.99,202,202.62,"6,556",3.72
15-Apr-2026,202.7,219.49,202.7,209.55,"25,406",6.93
16-Apr-2026,213.99,218,212.01,215.06,"26,881",5.51
17-Apr-2026,217.89,236.57,215,235.38,"137,363",20.32
20-Apr-2026,234.85,257.5,230.01,254.42,"221,007",19.04
21-Apr-2026,260,265,249.1,250.56,"163,977",-3.86
22-Apr-2026,248.01,248.01,240.5,241.01,"30,505",-9.55
23-Apr-2026,240.01,240.01,229.51,231.1,"24,460",-9.91
24-Apr-2026,229.52,233,224,230.11,"19,194",-0.99
27-Apr-2026,228,238,227.99,233.91,"16,936",3.8
28-Apr-2026,233.91,237.5,232.01,232.82,"7,832",-1.09
29-Apr-2026,232.02,245.99,225,227.93,"146,628",-4.89
30-Apr-2026,224.51,228.5,212.06,221.29,"24,402",-6.64
