DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
23-Feb-2026,5.3,5.4,4.81,4.91,"1,110,632",-0.41
24-Feb-2026,4.99,5.19,4.52,4.72,"1,194,095",-0.19
25-Feb-2026,4.9,5.58,4.73,5.24,"3,288,318",0.52
26-Feb-2026,5.3,6.1,5.3,5.89,"6,412,145",0.65
27-Feb-2026,6.25,6.8,5.9,6.54,"14,492,488",0.65
02-Mar-2026,5.56,6,5.54,5.54,"4,438,222",-1
03-Mar-2026,5.1,5.84,5.1,5.48,"2,787,808",-0.06
04-Mar-2026,5.75,5.75,5.3,5.35,"1,736,803",-0.13
05-Mar-2026,5.35,6,5.35,5.91,"2,364,814",0.56
06-Mar-2026,5.95,5.95,5.51,5.65,"1,345,964",-0.26
09-Mar-2026,5.51,5.53,4.75,4.94,"3,156,964",-0.71
10-Mar-2026,5.5,5.75,5.39,5.55,"2,412,047",0.61
11-Mar-2026,5.65,5.69,5.21,5.36,"1,849,178",-0.19
12-Mar-2026,5.35,5.37,5,5.06,"3,840,654",-0.3
13-Mar-2026,5.03,5.15,5.02,5.09,"764,160",0.03
16-Mar-2026,5.03,5.13,4.8,4.91,"813,674",-0.18
17-Mar-2026,5.09,5.24,4.8,5.12,"1,299,525",0.21
18-Mar-2026,5.19,5.3,5.05,5.26,"1,054,165",0.14
19-Mar-2026,5,5.68,4.97,5.24,"4,598,880",-0.02
24-Mar-2026,5.36,5.67,5.2,5.24,"1,074,708",0
25-Mar-2026,5.43,5.55,5.34,5.44,"2,919,756",0.2
26-Mar-2026,5.44,5.44,5.11,5.15,"881,495",-0.29
27-Mar-2026,5.15,5.28,5,5.14,"1,020,673",-0.01
30-Mar-2026,5.23,5.23,4.7,4.88,"1,255,738",-0.26
31-Mar-2026,4.88,5.15,4.8,5.02,"1,226,649",0.14
01-Apr-2026,5.17,5.67,5.1,5.37,"2,694,091",0.35
02-Apr-2026,5.21,5.21,5.06,5.16,"466,251",-0.21
03-Apr-2026,5.06,5.95,5.06,5.35,"10,188,297",0.19
06-Apr-2026,5.35,5.53,5.21,5.28,"1,881,299",-0.07
07-Apr-2026,5.21,5.4,5.21,5.29,"683,637",0.01
08-Apr-2026,6,6,5.61,5.9,"5,772,742",0.61
09-Apr-2026,5.9,5.9,4.91,5.57,"1,588,071",-0.33
10-Apr-2026,5.68,5.83,5.52,5.68,"1,912,881",0.11
13-Apr-2026,5.3,5.59,5.19,5.2,"2,240,043",-0.48
14-Apr-2026,5.3,5.43,5.2,5.33,"1,983,054",0.13
15-Apr-2026,5.35,5.74,5.35,5.6,"4,007,708",0.27
16-Apr-2026,5.72,5.89,5.59,5.63,"3,390,132",0.03
17-Apr-2026,5.75,6.19,5.75,5.94,"11,845,115",0.31
20-Apr-2026,5.93,6.18,5.53,5.89,"6,884,557",-0.05
21-Apr-2026,5.89,6.07,5.8,5.84,"2,942,858",-0.05
22-Apr-2026,5.96,5.96,5.62,5.67,"1,906,400",-0.17
23-Apr-2026,5.8,6.04,5.66,5.89,"6,350,479",0.22
24-Apr-2026,5.98,5.98,5.72,5.77,"852,387",-0.12
27-Apr-2026,5.87,5.87,5.6,5.75,"918,131",-0.02
28-Apr-2026,5.53,6.49,5.53,6.28,"17,545,870",0.53
29-Apr-2026,6.2,6.56,5.92,6.04,"17,226,190",-0.24
30-Apr-2026,6.13,6.14,5.76,6.05,"3,026,346",0.01
