DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
05-Sep-2025,183,186,180,183.2,"294,298",0.97
08-Sep-2025,189,201.52,185,201.39,"1,413,464",18.19
09-Sep-2025,205,208.99,190,192.14,"724,472",-9.25
10-Sep-2025,188,194.8,186.25,188.44,"243,609",-3.7
11-Sep-2025,190,192,188.2,189.85,"78,967",1.41
12-Sep-2025,190,191.99,187,188.97,"54,870",-0.88
15-Sep-2025,190.1,191.92,188.1,190.71,"50,929",1.74
16-Sep-2025,191,192,190.12,191.1,"31,486",0.39
17-Sep-2025,193,193,189.5,191.05,"45,804",-0.05
18-Sep-2025,191.99,192.49,190,190.66,"89,407",-0.39
19-Sep-2025,191.9,191.9,189.97,190.88,"67,187",0.22
22-Sep-2025,191.5,196,191.01,194.03,"112,760",3.15
23-Sep-2025,195.89,203,194.02,201.25,"329,847",7.22
24-Sep-2025,194.55,202.99,189.2,199.02,"435,210",4.77
25-Sep-2025,200,201,186,192.54,"221,586",-6.48
26-Sep-2025,192.4,194.9,191,191.92,"39,035",-0.62
29-Sep-2025,191.2,194,190,190.93,"36,114",-0.99
30-Sep-2025,190.51,192.1,190,190.96,"51,157",0.03
01-Oct-2025,192,192,189,190.31,"48,093",-0.65
02-Oct-2025,190.7,194,188.89,191.33,"90,914",1.02
03-Oct-2025,190.3,195.18,189,194.8,"170,234",3.47
06-Oct-2025,195,200,193,199.16,"252,128",4.36
07-Oct-2025,199,207,192.06,202.76,"290,687",3.6
08-Oct-2025,204,205.5,199.99,200.02,"77,472",-2.74
09-Oct-2025,199,201.9,195.1,198.29,"35,707",-1.73
10-Oct-2025,198,204,190.1,194.31,"139,203",-3.98
13-Oct-2025,191.8,192,185,186.66,"87,263",-7.65
14-Oct-2025,188,192,188,191.2,"48,703",4.54
15-Oct-2025,191.2,191.9,188,188.07,"70,093",-3.13
16-Oct-2025,188,189.89,183,185.03,"43,984",-3.04
17-Oct-2025,185.51,188,179.66,180.65,"98,416",-4.38
20-Oct-2025,181.5,184.49,181,181.12,"44,567",0.47
21-Oct-2025,182.5,189,182.5,184.89,"76,158",3.77
22-Oct-2025,186,191,181,186.1,"27,952",1.21
23-Oct-2025,186.8,188.7,181.2,182.24,"48,418",-3.86
24-Oct-2025,182.24,184.49,182,182.43,"14,233",0.19
27-Oct-2025,183,186,181,182.67,"9,063",0.24
28-Oct-2025,185,190,182,186.37,"86,596",3.7
29-Oct-2025,186.1,188.4,180.1,181.69,"41,614",-4.68
30-Oct-2025,182.99,186.69,180,180.44,"20,722",-1.25
31-Oct-2025,182,184,180.61,182.23,"5,923",1.79
03-Nov-2025,183,184.9,179,179.44,"67,700",-2.79
04-Nov-2025,180.01,181.85,178,178.82,"28,526",-0.62
05-Nov-2025,178.01,181.13,178.01,178.86,"13,127",0.04
06-Nov-2025,179.9,181,177,178.88,"4,441",0.02
07-Nov-2025,179.9,182,178,179.38,"31,767",0.5
10-Nov-2025,179,181.89,178,180.79,"13,919",1.41
11-Nov-2025,180.79,180.9,178,178.11,"16,173",-2.68
12-Nov-2025,179,179.99,176,177.43,"10,766",-0.68
13-Nov-2025,178.01,179.99,178,178.06,"5,089",0.63
14-Nov-2025,179.9,180,177.55,178.03,"28,412",-0.03
17-Nov-2025,179,180.94,179,179.55,"8,056",1.52
18-Nov-2025,179.9,181,178.8,178.9,"5,710",-0.65
19-Nov-2025,179.9,179.99,177,178.53,"24,685",-0.37
20-Nov-2025,178,179.9,176.2,177.01,"24,622",-1.52
